Pre Week 11

Team                1       2       3       4       5       6       7       8       9       10      Playoffs    
Christian's Team    0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.06%   18.33%  29.90%  51.70%  0.00%


--And I lose week 13--

Team                1       2       3       4       5       6       7       8       9       10      Playoffs    
FANtasy             89.87%  7.26%   2.38%   0.45%   0.04%   0.00%   0.00%   0.00%   0.00%   0.00%   99.95%      
Emily's Team        4.75%   24.05%  31.47%  19.71%  13.41%  5.25%   1.36%   0.01%   0.00%   0.00%   79.97%      
Run CMC             4.95%   50.42%  25.35%  12.95%  4.61%   1.38%   0.34%   0.00%   0.00%   0.00%   93.66%      
League is Rigged    0.00%   0.00%   0.03%   1.44%   18.16%  39.16%  40.98%  0.23%   0.00%   0.00%   1.47%       
Adam's Team         0.29%   12.35%  22.17%  32.63%  19.36%  10.06%  3.12%   0.00%   0.00%   0.00%   67.44%      
James's Team        0.14%   3.93%   12.72%  19.77%  26.36%  19.84%  16.91%  0.32%   0.01%   0.00%   36.56%      
Eat Lobster!        0.00%   1.99%   5.88%   13.06%  18.02%  24.21%  36.20%  0.62%   0.02%   0.00%   20.93%      
Daniel's Team       0.00%   0.00%   0.00%   0.00%   0.01%   0.08%   0.85%   47.47%  28.07%  23.51%  0.00%       
Kyle's Team         0.00%   0.00%   0.00%   0.00%   0.00%   0.01%   0.15%   18.84%  35.23%  45.77%  0.00%       
Christian's Team    0.00%   0.00%   0.00%   0.00%   0.00%   0.01%   0.10%   32.51%  36.68%  30.71%  0.00%


--And I lose week 14--

Team                1       2       3       4       5       6       7       8       9       10      Playoffs    
FANtasy             96.21%  3.31%   0.47%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   100.00%     
Emily's Team        2.50%   25.26%  32.87%  19.57%  13.58%  6.20%   0.01%   0.00%   0.00%   0.00%   80.20%      
Run CMC             1.24%   53.38%  25.94%  13.48%  4.66%   1.31%   0.00%   0.00%   0.00%   0.00%   94.03%      
League is Rigged    0.00%   0.00%   0.00%   0.00%   3.41%   30.73%  65.32%  0.54%   0.00%   0.00%   0.00%       
Adam's Team         0.04%   12.12%  22.19%  32.77%  21.25%  11.63%  0.00%   0.00%   0.00%   0.00%   67.12%      
James's Team        0.00%   3.82%   12.58%  20.47%  34.37%  17.12%  11.34%  0.29%   0.01%   0.00%   36.87%      
Eat Lobster!        0.00%   2.11%   5.96%   13.71%  22.71%  32.71%  22.00%  0.77%   0.03%   0.00%   21.78%      
Daniel's Team       0.00%   0.00%   0.00%   0.00%   0.02%   0.28%   1.01%   46.77%  27.94%  23.96%  0.00%       
Kyle's Team         0.00%   0.00%   0.00%   0.00%   0.00%   0.01%   0.15%   18.66%  36.10%  45.07%  0.00%       
Christian's Team    0.00%   0.00%   0.00%   0.00%   0.00%   0.00%   0.15%   32.98%  35.91%  30.96%  0.00%
